x; y
0;0
0.03;0.8087360606
0.06;0.9513513762
0.09;0.3103799097
0.12;-0.5862379992
0.15;-0.9999971464
0.18;-0.5901021047
0.21;0.3058343944
0.24;0.9498683946
0.27;0.8115370801
0.3;0.0047779426
0.33;-0.8059165785
0.36;-0.9528126396
0.39;-0.3149183393
0.42;0.5823605105
0.45;0.9999743176
0.48;0.5939527388
0.51;-0.3012818974
0.54;-0.9483637286
0.57;-0.8143195731
0.6;-0.0095557761
0.63;0.8030786983
0.66;0.9542521513
0.69;0.3194495797
0.72;-0.5784697273
0.75;-0.9999286605
0.78;-0.5977898137
0.81;0.2967225224
0.84;0.9468374125
0.87;0.8170834761
0.9;0.0143333915
0.93;-0.8002224848
0.96;-0.9556698785
0.99;-0.3239735274
1.02;0.5745657382
1.05;0.9998601762
1.08;0.6016132417
1.11;-0.2921563735
1.14;-0.9452894811
1.17;-0.8198287261
1.2;-0.0191106796
1.23;0.797348003
1.26;0.9570657889
1.29;0.3284900791
1.32;-0.5706486324
1.35;-0.9997688662
1.38;-0.6054229355
1.41;0.2875835551
1.44;0.9437199699
1.47;0.8225552602
1.5;0.0238875315
1.53;-0.7944553188
1.56;-0.9584398505
1.59;-0.3329991318
1.62;0.5667184994
1.65;0.9996547326
1.68;0.6092188083
1.71;-0.2830041714
1.74;-0.9421289146
1.77;-0.8252630164
1.8;-0.0286638381
1.83;0.791544498
1.86;0.9597920321
1.89;0.3375005825
1.92;-0.5627754288
1.95;-0.9995177781
1.98;-0.6130007732
2.01;0.2784183271
2.04;0.9405163516
2.07;0.8279519328
2.1;0.0334394902
2.13;-0.7886156071
2.16;-0.9611223026
2.19;-0.3419943285
2.22;0.5588195107
2.25;0.9993580056
2.28;0.6167687441
2.31;-0.2738261268
2.34;-0.9388823177
2.37;-0.8306219479
2.4;-0.038214379
2.43;0.785668713
2.46;0.9624306319
2.49;0.3464802671
2.52;-0.5548508354
2.55;-0.999175419
2.58;-0.6205226348
2.61;0.2692276754
2.64;0.9372268502
2.67;0.8332730009
2.7;0.0429883955
2.73;-0.7827038831
2.76;-0.9637169899
2.79;-0.350958296
2.82;0.5508694935
2.85;0.9989700223
2.88;0.6242623597
2.91;-0.2646230778
